case_name,maximum_bs_curvature,maximum_curvature
case_files\Case1-0.65-16.5-60D_30,0.323620E-01,0.323620E-01
case_files\Case1-0.65-16.75-60D_30,0.323451E-01,0.323451E-01
case_files\Case1-0.65-17.0-60D_30,0.323275E-01,0.323275E-01
case_files\Case1-0.675-8.0-60D_30,0.294257E-01,0.294257E-01
case_files\Case1-0.675-8.25-60D_30,0.295004E-01,0.295004E-01
case_files\Case1-0.675-8.5-60D_30,0.295691E-01,0.295691E-01
case_files\Case1-0.675-8.75-60D_30,0.296323E-01,0.296323E-01
case_files\Case1-0.675-9.0-60D_30,0.296902E-01,0.296902E-01
case_files\Case1-0.675-9.25-60D_30,0.297435E-01,0.297435E-01
case_files\Case1-0.675-9.5-60D_30,0.297922E-01,0.297922E-01
case_files\Case1-0.675-9.75-60D_30,0.298369E-01,0.298369E-01
case_files\Case1-0.675-10.0-60D_30,0.298779E-01,0.298779E-01
case_files\Case1-0.675-10.25-60D_30,0.299152E-01,0.299152E-01
case_files\Case1-0.675-10.5-60D_30,0.299491E-01,0.299491E-01
case_files\Case1-0.675-10.75-60D_30,0.299799E-01,0.299799E-01
case_files\Case1-0.675-11.0-60D_30,0.300077E-01,0.300077E-01
case_files\Case1-0.675-11.25-60D_30,0.300327E-01,0.300327E-01
case_files\Case1-0.675-11.5-60D_30,0.300550E-01,0.300550E-01
case_files\Case1-0.675-11.75-60D_30,0.300750E-01,0.300750E-01
case_files\Case1-0.675-12.0-60D_30,0.300926E-01,0.300926E-01
case_files\Case1-0.675-12.25-60D_30,0.301079E-01,0.301079E-01
case_files\Case1-0.675-12.5-60D_30,0.301211E-01,0.301211E-01
case_files\Case1-0.675-12.75-60D_30,0.301324E-01,0.301324E-01
case_files\Case1-0.675-13.0-60D_30,0.301419E-01,0.301419E-01
case_files\Case1-0.675-13.25-60D_30,0.301495E-01,0.301495E-01
case_files\Case1-0.675-13.5-60D_30,0.301555E-01,0.301555E-01
case_files\Case1-0.675-13.75-60D_30,0.301598E-01,0.301598E-01
case_files\Case1-0.675-14.0-60D_30,0.301627E-01,0.301627E-01
case_files\Case1-0.675-14.25-60D_30,0.301641E-01,0.301641E-01
case_files\Case1-0.675-14.5-60D_30,0.301641E-01,0.301641E-01
case_files\Case1-0.675-14.75-60D_30,0.301628E-01,0.301628E-01
case_files\Case1-0.675-15.0-60D_30,0.301602E-01,0.301602E-01
case_files\Case1-0.675-15.25-60D_30,0.301564E-01,0.301564E-01
case_files\Case1-0.675-15.5-60D_30,0.301515E-01,0.301515E-01
case_files\Case1-0.675-15.75-60D_30,0.301456E-01,0.301456E-01
case_files\Case1-0.675-16.0-60D_30,0.301387E-01,0.301387E-01
case_files\Case1-0.675-16.25-60D_30,0.301307E-01,0.301307E-01
case_files\Case1-0.675-16.5-60D_30,0.301218E-01,0.301218E-01
case_files\Case1-0.675-16.75-60D_30,0.301121E-01,0.301121E-01
case_files\Case1-0.675-17.0-60D_30,0.301015E-01,0.301015E-01
case_files\Case1-0.7-8.0-60D_30,0.271504E-01,0.271504E-01
case_files\Case1-0.7-8.25-60D_30,0.272320E-01,0.272320E-01
case_files\Case1-0.7-8.5-60D_30,0.273076E-01,0.273076E-01
case_files\Case1-0.7-8.75-60D_30,0.273774E-01,0.273774E-01
case_files\Case1-0.7-9.0-60D_30,0.274422E-01,0.274422E-01
case_files\Case1-0.7-9.25-60D_30,0.275021E-01,0.275021E-01
case_files\Case1-0.7-9.5-60D_30,0.275575E-01,0.275575E-01
case_files\Case1-0.7-9.75-60D_30,0.276088E-01,0.276088E-01
